response_id,timestamp,age,gender,location,occupation,education,income,marital_status,household_size,shopping_frequency,current_platforms,categories_purchased,primary_device,monthly_spending_total,fashion_spending,homedecor_spending,wellness_spending,fashion_purchase_freq,homedecor_purchase_freq,wellness_purchase_freq,decision_factors,pain_points,feature_importance_curated_collections,feature_importance_personalized_recommendations,feature_importance_ar_virtual_try-on,feature_importance_live_shopping_video_commerce,feature_importance_subscription_boxes,feature_importance_same-day_next-day_delivery,feature_importance_loyalty_rewards_program,feature_importance_style_lifestyle_content,feature_importance_community_reviews_&_forums,sustainability_importance,sustainability_pay_more,artisan_support,shopping_style,discovery_channels,shopizz_categories_interest,features_likely_to_use,likelihood_to_try,shopizz_monthly_spending,likelihood_to_recommend,will_signup,reason_for_no,loyalty_factors,open_feedback,other_comments,email_capture
RESP_0011,14:31.4,18-24 years,Male,Metro Cities,Student,High School or below,"Below ₹25,000",Married without children,2,Once a month,Instagram Shopping|Ajio|Flipkart|Amazon,Wellness - Fitness Equipment|Fashion - Footwear|Electronics|Fashion - Men's Clothing|Wellness - Skincare|Fashion - Accessories|Wellness - Aromatherapy|Wellness - Supplements & Vitamins,Smartphone,"₹2,501 - ₹5,000","₹1,501 - ₹3,000",₹0,"₹1 - ₹1,000",Quarterly,Never,Once a year,Price/Discounts|Customer Reviews|Customer Reviews,Poor quality products|Payment security concerns|Lack of personalization|Not enough sustainable/ethical options,Slightly Important,Extremely Important,Moderately Important,Slightly Important,Moderately Important,Extremely Important,Not Important,Extremely Important,Extremely Important,Moderately important,Up to 5% more,Slightly important,Impulsive,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Online Ads|Other",Home Décor - Furniture|Footwear|Wellness - Haircare|Wellness - Fitness Products|Home Décor - Decorative Items|Western Wear,Custom/personalized products|Subscription boxes|Rent/Trial before purchase|Loyalty rewards program|Live shopping events|Virtual try-on for clothes/décor,Probably will try (4),"₹501 - ₹1,500",Probably yes,YES,N/A,Excellent Customer Service|Competitive Pricing|Exclusive Products,,,No
RESP_0012,21:29.4,55+ years,Prefer not to say,Metro Cities,Salaried Professional (Government/PSU),Undergraduate (Bachelor's degree),"₹1,00,001 - ₹1,50,000",Married with children,5 or more,Once a month,Nykaa|Flipkart|Ajio,Wellness - Fitness Equipment|Fashion - Men's Clothing|Home Décor - Kitchen & Dining|Wellness - Aromatherapy,Smartphone,"₹5,001 - ₹10,000","₹1,501 - ₹3,000","₹1 - ₹1,000","₹2,001 - ₹3,500",Quarterly,Monthly,Quarterly,Brand Reputation|Product Variety|Customer Reviews,Lack of Indian/artisan products|Poor customer service|Payment security concerns|Misleading product descriptions/images,Moderately Important,Very Important,Slightly Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately important,11-20% more,Very important,Budget-conscious,Search Engines (Google)|Word of Mouth (Friends/Family),Wellness - Fitness Products|Home Décor - Furniture|Home Décor - Kitchen & Dining|Wellness - Supplements|Western Wear|Fashion Accessories,Custom/personalized products|Virtual try-on for clothes/décor|Live shopping events|Personalized style recommendations,Definitely will try (5),"₹1,501 - ₹3,000",Definitely yes,YES,N/A,Supporting Indian Artisans|Personalized Experience|Sustainability Focus,,,Yes
RESP_0013,51:22.4,45-54 years,Female,Tier 3 Cities/Towns,Salaried Professional (Private Sector),Postgraduate (Master's degree or higher),"₹75,001 - ₹1,00,000",Other,2,Once a month,FirstCry|Nykaa,Fashion - Accessories|Fashion - Women's Clothing|Fashion - Men's Clothing|Home Décor - Kitchen & Dining|Wellness - Yoga & Meditation,Smartphone,"₹10,001 - ₹20,000","₹1,501 - ₹3,000","₹1 - ₹1,000","₹1 - ₹1,000",Every 6 months,Every 6 months,Every 6 months,Price/Discounts|Product Quality|Product Variety,Not enough sustainable/ethical options|High shipping charges,Moderately Important,Very Important,Moderately Important,Very Important,Slightly Important,Extremely Important,Slightly Important,Very Important,Moderately Important,Extremely important,11-20% more,Moderately important,Budget-conscious,Influencer Recommendations|Search Engines (Google)|Online Ads|Word of Mouth (Friends/Family),Women's Fashion|Wellness - Skincare|Western Wear|Home Décor - Kitchen & Dining,Live shopping events|Virtual try-on for clothes/décor|Personalized style recommendations,Probably will try (4),"₹501 - ₹1,500",Not sure,YES,N/A,Sustainability Focus|Supporting Indian Artisans|Exclusive Products,,,Yes
RESP_0014,59:51.4,25-34 years,Male,Metro Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹1,00,001 - ₹1,50,000",Married without children,2,Once a week,Brand Websites directly|Meesho|Myntra|Other|Urban Ladder|Flipkart,Fashion - Footwear|Fashion - Men's Clothing|Wellness - Fitness Equipment|Books|Fashion - Kids' Clothing|Groceries|Wellness - Yoga & Meditation|Wellness - Skincare,Smartphone,"₹2,501 - ₹5,000","₹5,001 - ₹10,000",₹0,"Above ₹5,000",Quarterly,Never,Monthly,Sustainable/Eco-friendly Products|Fast Delivery|Product Quality,Poor customer service|Not enough sustainable/ethical options|Slow delivery,Moderately Important,Moderately Important,Moderately Important,Extremely Important,Very Important,Moderately Important,Very Important,Moderately Important,Very Important,Moderately important,11-20% more,Very important,Planned & Researched,"Influencer Recommendations|Social Media (Instagram, Facebook, YouTube)|Email Newsletters",Wellness - Fitness Products|Men's Fashion|Home Décor - Furniture|Home Décor - Furnishings|Western Wear|Footwear,Custom/personalized products|Live shopping events|Style consultation services|Rent/Trial before purchase|Personalized style recommendations|Loyalty rewards program,Maybe/Not sure (3),"₹1,501 - ₹3,000",Not sure,YES,N/A,Supporting Indian Artisans|Sustainability Focus|Rewards/Loyalty Program,,,Yes
RESP_0015,58:29.4,18-24 years,Female,Tier 1 Cities,Student,Postgraduate (Master's degree or higher),"Below ₹25,000",Single,2,Once a month,Other|Brand Websites directly|Flipkart|Myntra,Fashion - Women's Clothing|Home Décor - Wall Art|Wellness - Haircare|Home Décor - Furniture|Fashion - Men's Clothing|Books,Smartphone,"₹1,000 - ₹2,500","₹5,001 - ₹10,000","₹1 - ₹1,000","₹1 - ₹1,000",Monthly,Every 6 months,Monthly,Customer Reviews|Price/Discounts|Product Variety,Lack of personalization|Lack of Indian/artisan products|Complicated return process|Slow delivery|Other,Moderately Important,Very Important,Extremely Important,Moderately Important,Extremely Important,Very Important,Extremely Important,Not Important,Moderately Important,Extremely important,Price doesn't matter if sustainable,Moderately important,Trendy & Fashion-forward,"Influencer Recommendations|Social Media (Instagram, Facebook, YouTube)|Email Newsletters|Online Ads|Other",Wellness - Skincare|Women's Fashion|Home Décor - Furniture|Wellness - Supplements|Home Décor - Kitchen & Dining,Personalized style recommendations|Rent/Trial before purchase|Same-day delivery|Virtual try-on for clothes/décor,Probably won't try (2),₹0,Not sure,NO,Other,N/A,,,No
RESP_0016,24:47.4,18-24 years,Female,Tier 1 Cities,Freelancer/Consultant,Undergraduate (Bachelor's degree),"₹25,000 - ₹50,000",Single,03-Apr,Once a month,Myntra|Pepperfry|FirstCry,Home Décor - Wall Art|Wellness - Haircare|Home Décor - Furnishings|Fashion - Accessories|Fashion - Men's Clothing|Wellness - Yoga & Meditation|Wellness - Supplements & Vitamins|Home Décor - Lighting,Smartphone,"Below ₹1,000","₹1 - ₹1,500","₹1,001 - ₹2,500","₹1,001 - ₹2,000",Monthly,Quarterly,Once a year,Price/Discounts|Product Quality|Price/Discounts,Poor quality products|Poor customer service|Slow delivery|Complicated return process,Very Important,Moderately Important,Slightly Important,Not Important,Moderately Important,Extremely Important,Moderately Important,Extremely Important,Not Important,Very important,More than 20% extra,Moderately important,Budget-conscious,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Other",Women's Fashion|Fashion Accessories|Footwear|Wellness - Skincare|Home Décor - Kitchen & Dining|Men's Fashion,Subscription boxes|Same-day delivery|Personalized style recommendations|Live shopping events|Virtual try-on for clothes/décor|Rent/Trial before purchase,Probably will try (4),₹0,Probably yes,YES,N/A,Sustainability Focus|Personalized Experience|Quality Products,,,Yes
RESP_0017,27:32.4,25-34 years,Male,Tier 1 Cities,Freelancer/Consultant,Professional degree,"Below ₹25,000",Single,1 (Living alone),2-3 times a month,Brand Websites directly|Urban Ladder|Ajio|Meesho,Wellness - Fitness Equipment|Wellness - Supplements & Vitamins|Wellness - Haircare,Smartphone,"Below ₹1,000",₹0,₹0,"₹1,001 - ₹2,000",Never,Never,Quarterly,Price/Discounts|Product Quality|Fast Delivery,Payment security concerns|Complicated return process|Too many options (overwhelming),Slightly Important,Slightly Important,Slightly Important,Moderately Important,Extremely Important,Very Important,Very Important,Very Important,Moderately Important,Very important,More than 20% extra,Moderately important,Budget-conscious,"Platform Recommendations|Social Media (Instagram, Facebook, YouTube)|Other",Wellness - Fitness Products|Footwear|Women's Fashion|Home Décor - Kitchen & Dining,Loyalty rewards program|Same-day delivery|Rent/Trial before purchase,Probably will try (4),₹1 - ₹500,Definitely yes,YES,N/A,Sustainability Focus|Easy Returns|Fast & Reliable Delivery,,,No
RESP_0018,18:33.4,25-34 years,Female,Tier 3 Cities/Towns,Salaried Professional (Private Sector),Professional degree,"₹50,001 - ₹75,000",Married without children,2,Once a month,Ajio|Amazon,Home Décor - Wall Art|Home Décor - Furnishings|Fashion - Women's Clothing|Electronics|Home Décor - Furniture|Groceries,Tablet,"₹1,000 - ₹2,500","₹5,001 - ₹10,000","₹1 - ₹1,000",₹0,Monthly,Quarterly,Never,Sustainable/Eco-friendly Products|Product Variety|Customer Reviews,Poor customer service|Lack of Indian/artisan products,Very Important,Very Important,Extremely Important,Moderately Important,Slightly Important,Very Important,Very Important,Not Important,Very Important,Extremely important,I wouldn't pay more,Very important,Budget-conscious,"Social Media (Instagram, Facebook, YouTube)|Influencer Recommendations|Word of Mouth (Friends/Family)",Home Décor - Furnishings|Women's Fashion|Fashion Accessories,Custom/personalized products|Personalized style recommendations|Loyalty rewards program|Virtual try-on for clothes/décor|Live shopping events|Subscription boxes,Probably will try (4),"₹1,501 - ₹3,000",Probably not,YES,N/A,Sustainability Focus|Supporting Indian Artisans|Fast & Reliable Delivery,,,Yes
RESP_0019,57:07.4,25-34 years,Female,Metro Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹75,001 - ₹1,00,000",Married without children,2,2-3 times a month,FirstCry|Nykaa|Flipkart|Ajio,Fashion - Accessories|Fashion - Women's Clothing|Wellness - Haircare|Wellness - Yoga & Meditation|Wellness - Skincare,Smartphone,"Below ₹1,000","₹5,001 - ₹10,000",₹0,"₹1,001 - ₹2,000",Monthly,Never,Quarterly,Easy Returns/Exchanges|Customer Reviews|Product Variety,Payment security concerns|Misleading product descriptions/images|Other,Extremely Important,Moderately Important,Slightly Important,Slightly Important,Moderately Important,Extremely Important,Moderately Important,Not Important,Very Important,Very important,More than 20% extra,Very important,Premium Quality,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Online Ads",Women's Fashion|Home Décor - Furnishings|Ethnic Wear,Virtual try-on for clothes/décor|Subscription boxes|Personalized style recommendations|Rent/Trial before purchase,Probably will try (4),"₹5,001 - ₹10,000",Probably yes,NO,Not interested in these product categories,N/A,,,No
RESP_0020,13:49.4,25-34 years,Male,Tier 2 Cities,Freelancer/Consultant,Undergraduate (Bachelor's degree),"₹1,00,001 - ₹1,50,000",Single,03-Apr,Once every few months,Ajio|Brand Websites directly|Pepperfry|FirstCry,Fashion - Men's Clothing|Fashion - Women's Clothing|Books,Laptop/Desktop,"₹2,501 - ₹5,000","₹5,001 - ₹10,000",₹0,₹0,Quarterly,Never,Never,Brand Reputation|User-friendly Website/App|Easy Returns/Exchanges,Lack of personalization|Not enough sustainable/ethical options|High shipping charges|Too many options (overwhelming),Very Important,Very Important,Not Important,Slightly Important,Moderately Important,Very Important,Extremely Important,Not Important,Extremely Important,Moderately important,I wouldn't pay more,Moderately important,Trendy & Fashion-forward,"Influencer Recommendations|Platform Recommendations|Social Media (Instagram, Facebook, YouTube)",Footwear|Home Décor - Furniture|Women's Fashion|Home Décor - Furnishings|Wellness - Supplements,Live shopping events|Loyalty rewards program|Same-day delivery|Custom/personalized products|Style consultation services|Virtual try-on for clothes/décor,Maybe/Not sure (3),₹1 - ₹500,Definitely not,NO,Already satisfied with current platforms,N/A,,,Yes
RESP_0021,20:44.4,35-44 years,Female,Rural Areas,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹75,001 - ₹1,00,000",Married with children,03-Apr,2-3 times a month,Myntra|Nykaa|Other|Ajio|Brand Websites directly,Home Décor - Furnishings|Fashion - Women's Clothing,Smartphone,"₹1,000 - ₹2,500","₹5,001 - ₹10,000","₹2,501 - ₹5,000",₹0,Monthly,Monthly,Never,Product Quality|Sustainable/Eco-friendly Products|Customer Service,Other|Poor quality products|Lack of personalization|Too many options (overwhelming),Very Important,Moderately Important,Not Important,Moderately Important,Not Important,Very Important,Moderately Important,Very Important,Not Important,Slightly important,I wouldn't pay more,Moderately important,Premium Quality,"Social Media (Instagram, Facebook, YouTube)|Search Engines (Google)|Email Newsletters|Platform Recommendations",Women's Fashion|Home Décor - Furnishings|Home Décor - Kitchen & Dining|Ethnic Wear,Loyalty rewards program|Subscription boxes|Style consultation services,Probably will try (4),"₹1,501 - ₹3,000",Probably yes,YES,N/A,Sustainability Focus|Competitive Pricing|Personalized Experience,,,Yes
RESP_0022,35:08.4,18-24 years,Male,Tier 2 Cities,Student,Undergraduate (Bachelor's degree),"Below ₹25,000",Married without children,03-Apr,Once a month,Instagram Shopping|FirstCry|Meesho|Ajio|Myntra,Fashion - Footwear|Electronics|Wellness - Aromatherapy|Wellness - Supplements & Vitamins|Fashion - Accessories,Equally use multiple devices,"Below ₹1,000","₹1 - ₹1,500",₹0,"₹1 - ₹1,000",Every 6 months,Never,Monthly,Price/Discounts|Customer Reviews|Customer Reviews,High shipping charges|Payment security concerns|Lack of personalization,Not Important,Very Important,Not Important,Slightly Important,Moderately Important,Not Important,Moderately Important,Very Important,Moderately Important,Extremely important,Up to 5% more,Extremely important,Budget-conscious,"Platform Recommendations|Social Media (Instagram, Facebook, YouTube)|Other|Fashion/Lifestyle Blogs/Magazines|Word of Mouth (Friends/Family)|Email Newsletters",Wellness - Fitness Products|Footwear|Home Décor - Decorative Items|Men's Fashion,Same-day delivery|Loyalty rewards program|Subscription boxes|Live shopping events,Probably will try (4),"₹501 - ₹1,500",Not sure,NO,Already satisfied with current platforms,N/A,,,No
RESP_0023,02:15.4,25-34 years,Female,Tier 3 Cities/Towns,Business Owner/Entrepreneur,Postgraduate (Master's degree or higher),"Above ₹2,00,000",Married with children,5 or more,Once a month,Flipkart|Amazon|Other|Myntra|Urban Ladder,Wellness - Haircare|Other|Home Décor - Kitchen & Dining,Smartphone,"₹20,001 - ₹50,000",₹0,"₹1,001 - ₹2,500","Above ₹5,000",Never,Every 6 months,Quarterly,Unique/Exclusive Products|Brand Reputation|Price/Discounts,Lack of Indian/artisan products|Poor quality products|Misleading product descriptions/images|Lack of personalization,Extremely Important,Moderately Important,Extremely Important,Slightly Important,Moderately Important,Slightly Important,Very Important,Moderately Important,Slightly Important,Very important,6-10% more,Slightly important,Impulsive,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Fashion/Lifestyle Blogs/Magazines|Search Engines (Google)|Other",Women's Fashion|Wellness - Skincare|Home Décor - Decorative Items,Live shopping events|Virtual try-on for clothes/décor|Custom/personalized products|Rent/Trial before purchase,Probably will try (4),"₹10,001 - ₹20,000",Probably yes,NO,Don't trust new platforms,N/A,,,Yes
